version,N,D,threads,run,time_ms,mse
sequential,5000,8,1,1,3616.9849,180.726842
sequential,5000,8,1,2,3548.5770,180.726842
sequential,5000,8,1,3,3513.3911,180.726842
sequential,5000,8,1,4,3522.4881,180.726842
sequential,5000,8,1,5,3660.1021,180.726842
parallel,5000,8,1,1,3573.4426,180.726842
parallel,5000,8,1,2,3715.2761,180.726842
parallel,5000,8,1,3,4085.5785,180.726842
parallel,5000,8,1,4,3785.0275,180.726842
parallel,5000,8,1,5,3753.5314,180.726842
parallel,5000,8,2,1,2187.0284,180.726842
parallel,5000,8,2,2,2114.2896,180.726842
parallel,5000,8,2,3,2178.1862,180.726842
parallel,5000,8,2,4,2312.6021,180.726842
parallel,5000,8,2,5,2328.9533,180.726842
parallel,5000,8,4,1,1422.4961,180.726842
parallel,5000,8,4,2,1443.4063,180.726842
parallel,5000,8,4,3,1398.9481,180.726842
parallel,5000,8,4,4,1379.0090,180.726842
parallel,5000,8,4,5,1486.2019,180.726842
parallel,5000,8,8,1,1117.4351,180.726842
parallel,5000,8,8,2,1131.3686,180.726842
parallel,5000,8,8,3,1118.7557,180.726842
parallel,5000,8,8,4,1124.5257,180.726842
parallel,5000,8,8,5,1256.4798,180.726842
sequential,20000,8,1,1,18047.9598,167.443421
sequential,20000,8,1,2,18574.2983,167.443421
sequential,20000,8,1,3,18772.3802,167.443421
sequential,20000,8,1,4,18580.7022,167.443421
sequential,20000,8,1,5,18381.1217,167.443421
parallel,20000,8,1,1,17981.2958,167.443421
parallel,20000,8,1,2,17910.9977,167.443421
parallel,20000,8,1,3,17100.6795,167.443421
parallel,20000,8,1,4,17753.5716,167.443421
parallel,20000,8,1,5,17904.4210,167.443421
parallel,20000,8,2,1,10793.0032,167.443421
parallel,20000,8,2,2,9980.2823,167.443421
parallel,20000,8,2,3,10357.6222,167.443421
parallel,20000,8,2,4,10081.4735,167.443421
parallel,20000,8,2,5,9889.6481,167.443421
parallel,20000,8,4,1,6073.4962,167.443421
parallel,20000,8,4,2,5759.9049,167.443421
parallel,20000,8,4,3,6268.7876,167.443421
parallel,20000,8,4,4,6045.9378,167.443421
parallel,20000,8,4,5,6330.1769,167.443421
parallel,20000,8,8,1,3737.3072,167.443421
parallel,20000,8,8,2,3783.0433,167.443421
parallel,20000,8,8,3,4185.1317,167.443421
parallel,20000,8,8,4,3769.0049,167.443421
parallel,20000,8,8,5,3764.6891,167.443421
sequential,80000,8,1,1,260057.8917,169.258666
sequential,80000,8,1,2,262954.7638,169.258666
sequential,80000,8,1,3,259508.8013,169.258666
sequential,80000,8,1,4,251357.3755,169.258666
sequential,80000,8,1,5,255557.7454,169.258666
parallel,80000,8,1,1,253091.4331,169.258666
parallel,80000,8,1,2,249729.7274,169.258666
parallel,80000,8,1,3,251322.1242,169.258666
parallel,80000,8,1,4,247208.6870,169.258666
parallel,80000,8,1,5,249587.2645,169.258666
parallel,80000,8,2,1,101861.8415,169.258666
parallel,80000,8,2,2,100173.2584,169.258666
parallel,80000,8,2,3,107383.1117,169.258666
parallel,80000,8,2,4,101804.2662,169.258666
parallel,80000,8,2,5,102090.5119,169.258666
parallel,80000,8,4,1,54796.8132,169.258666
parallel,80000,8,4,2,54787.6223,169.258666
parallel,80000,8,4,3,55601.3463,169.258666
parallel,80000,8,4,4,53504.4367,169.258666
parallel,80000,8,4,5,54974.5954,169.258666
parallel,80000,8,8,1,31672.5867,169.258666
parallel,80000,8,8,2,31946.4557,169.258666
parallel,80000,8,8,3,30877.2822,169.258666
parallel,80000,8,8,4,30813.9580,169.258666
parallel,80000,8,8,5,31177.6289,169.258666
